       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          64.87093326          20.69036849        -158.23078624        -137.54041775
     200          59.21982494          18.88796628        -156.45974203        -137.57177575
     300          57.65314473          18.38827884        -155.97177144        -137.58349260
     400          60.65498091          19.34570451        -156.76845269        -137.42274819
     500          59.65869939          19.02794382        -156.39542954        -137.36748571
     600          59.78180479          19.06720788        -156.48375449        -137.41654661
     700          54.17659030          17.27944336        -154.48730090        -137.20785754
     800          57.17076002          18.23442384        -155.52476372        -137.29033989
     900          62.09838780          19.80607433        -157.05984891        -137.25377457
    1000          57.22627813          18.25213115        -155.58341780        -137.33128665
    1100          53.46522326          17.05255521        -154.23951647        -137.18696126
    1200          54.90319626          17.51119191        -154.86276077        -137.35156886
    1300          54.52180274          17.38954772        -154.83571016        -137.44616244
    1400          54.46600074          17.37174986        -154.77369004        -137.40194018
    1500          51.80473104          16.52294673        -153.92458561        -137.40163887
    1600          53.25339838          16.98499436        -154.44903945        -137.46404509
    1700          55.78484321          17.79239028        -155.26832821        -137.47593793
    1800          47.39809736          15.11746557        -152.34146756        -137.22400199
    1900          52.20665658          16.65113955        -153.95787223        -137.30673269
    2000          55.67777609          17.75824157        -155.09228149        -137.33403991
    2100          52.80504853          16.84199467        -154.18905546        -137.34706079
    2200          56.51872947          18.02646086        -155.44333239        -137.41687153
    2300          50.71584973          16.17565166        -153.57402293        -137.39837127
    2400          51.17499103          16.32209325        -153.84810620        -137.52601295
    2500          52.36981901          16.70317966        -154.02745019        -137.32427053
    2600          51.76909669          16.51158127        -154.02169421        -137.51011293
    2700          47.01937734          14.99667408        -152.47563262        -137.47895854
    2800          50.18620031          16.00672174        -153.46800801        -137.46128628
    2900          53.51358026          17.06797851        -154.39397342        -137.32599491
    3000          56.19869386          17.92438657        -155.20196436        -137.27757779
    3100          52.14336347          16.63095242        -153.78056081        -137.14960839
    3200          54.21726539          17.29241654        -154.34860828        -137.05619173
    3300          52.57568905          16.76884123        -153.75903985        -136.99019863
    3400          60.36996555          19.25479980        -156.31711461        -137.06231481
    3500          49.89861191          15.91499637        -152.69676378        -136.78176741
    3600          53.86736967          17.18081846        -153.92997125        -136.74915278
    3700          51.57335814          16.44915112        -153.09356940        -136.64441828
    3800          56.90664526          18.15018531        -154.88216596        -136.73198065
    3900          50.38810616          16.07111894        -152.74747797        -136.67635903
    4000          54.96417695          17.53064150        -154.13072088        -136.60007938
    4100          54.70220219          17.44708552        -154.11822396        -136.67113843
    4200          56.92543800          18.15617919        -154.97189399        -136.81571480
    4300          55.73767158          17.77734504        -154.70929722        -136.93195217
    4400          54.04789700          17.23839706        -154.09028962        -136.85189257
    4500          55.63881395          17.74581473        -154.48559538        -136.73978065
    4600          49.97395842          15.93902789        -152.57120474        -136.63217684
    4700          54.55045508          17.39868629        -154.16569494        -136.76700865
    4800          53.90793851          17.19375776        -153.96014432        -136.76638655
    4900          55.61906421          17.73951562        -154.51033557        -136.77081996
    5000          53.38031763          17.02547484        -153.83497384        -136.80949900
    5100          48.94316815          15.61026076        -152.46084449        -136.85058372
    5200          52.61710912          16.78205202        -153.64895392        -136.86690190
    5300          49.14895222          15.67589491        -152.44398216        -136.76808726
    5400          56.55570374          18.03825368        -154.87263766        -136.83438398
    5500          58.31903525          18.60066240        -155.32970215        -136.72903974
    5600          55.14562269          17.58851302        -154.22874390        -136.64023088
    5700          53.60468153          17.09703496        -153.73258820        -136.63555324
    5800          56.01792427          17.86673070        -154.52098045        -136.65424975
    5900          53.09083322          16.93314475        -153.40832010        -136.47517535
    6000          49.84689646          15.89850190        -152.46146953        -136.56296763
    6100          52.18705149          16.64488657        -153.11026331        -136.46537674
    6200          55.88384677          17.82396713        -154.35959145        -136.53562431
    6300          58.14801879          18.54611727        -154.93778491        -136.39166763
    6400          61.45425290          19.60062965        -156.00334090        -136.40271125
    6500          57.08113133          18.20583706        -154.53399089        -136.32815383
    6600          53.35221566          17.01651181        -153.26502782        -136.24851601
    6700          54.64667179          17.42937429        -153.71300679        -136.28363250
    6800          51.11105443          16.30170088        -152.59950950        -136.29780861
    6900          52.71101119          16.81200177        -153.08167843        -136.26967666
    7000          54.35894006          17.33760321        -153.77983241        -136.44222920
    7100          50.28854171          16.03936319        -152.30565144        -136.26628825
    7200          52.24317512          16.66278702        -152.92010218        -136.25731517
    7300          53.62974527          17.10502895        -153.28520874        -136.18017978
    7400          59.86096644          19.09245623        -155.41332287        -136.32086664
    7500          55.05239585          17.55877863        -153.72394704        -136.16516841
    7600          50.66809229          16.16041958        -152.31900291        -136.15858333
    7700          57.09170580          18.20920976        -154.38662127        -136.17741152
    7800          55.80849573          17.79993417        -153.96286710        -136.16293293
    7900          52.24237225          16.66253094        -152.83602958        -136.17349864
    8000          50.84695724          16.21746796        -152.50560920        -136.28814124
    8100          58.91136435          18.78958380        -154.95855175        -136.16896795
    8200          51.87145342          16.54422761        -152.49996206        -135.95573444
    8300          51.99021493          16.58210620        -152.56337938        -135.98127317
    8400          55.94234779          17.84262584        -153.97693539        -136.13430955
    8500          52.32084594          16.68755986        -152.81750839        -136.12994853
    8600          49.39613989          15.75473459        -151.97466624        -136.21993165
    8700          57.26112663          18.26324596        -154.60187387        -136.33862791
    8800          54.23559368          17.29826229        -153.32726706        -136.02900477
    8900          62.71945661          20.00416217        -156.01751963        -136.01335747
    9000          56.63848458          18.06465635        -153.85872665        -135.79407029
    9100          58.28531245          18.58990663        -154.27278621        -135.68287958
    9200          59.12382119          18.85734620        -154.59675897        -135.73941277
